date,bytesIn,bytesOut,packetsIn,packetsOut,applicationName,destinationAddress,protocolNumber,sourceAddress
7/13/2018 6:31:01.000000000 PM,28482,1701,37,9,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 6:31:01.000000000 PM,28482,1701,37,9,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 6:36:01.000000000 PM,6380,3402,20,18,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 6:36:01.000000000 PM,6380,3402,20,18,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 6:37:01.000000000 PM,0,876633,0,61,,store.c2.local_111.16.2.22,,router.c2.local_111.16.2.11
7/13/2018 6:37:01.000000000 PM,0,876633,0,61,The Secure Shell (SSH) Protocol,store.c2.local_111.16.2.22,6,router.c2.local_111.16.2.11
7/13/2018 6:40:01.000000000 PM,5212,0,5,0,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 6:40:01.000000000 PM,5212,0,5,0,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
7/13/2018 6:41:01.000000000 PM,9834,1701,20,9,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 6:41:01.000000000 PM,9834,1701,20,9,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 6:44:01.000000000 PM,3118,0,36,0,,manager.c2.local,,router.c2.local_111.16.2.11
7/13/2018 6:44:01.000000000 PM,3118,0,36,0,SNMP,manager.c2.local,17,router.c2.local_111.16.2.11
7/13/2018 6:46:01.000000000 PM,2510016,2660,366,33,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 6:46:01.000000000 PM,2510016,2660,366,33,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
7/13/2018 6:49:01.000000000 PM,10097,0,10,0,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 6:49:01.000000000 PM,10097,0,10,0,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 6:51:01.000000000 PM,841892,0,2431,0,,mail.c2.local_111.16.2.2,,g1.inside.local_192.168.1.1
7/13/2018 6:51:01.000000000 PM,841892,0,2431,0,Xml-Ipc Server Reg,mail.c2.local_111.16.2.2,6,g1.inside.local_192.168.1.1
7/13/2018 6:52:00.000000000 PM,2429166,35477,344,676,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 6:52:00.000000000 PM,2429166,35477,344,676,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
7/13/2018 6:53:01.000000000 PM,15147,0,15,0,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 6:53:01.000000000 PM,15147,0,15,0,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 6:56:01.000000000 PM,388,35477,5,676,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 6:56:01.000000000 PM,388,35477,5,676,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
7/13/2018 6:58:01.000000000 PM,840248,0,2419,0,,mail.c2.local_111.16.2.2,,g1.inside.local_192.168.1.1
7/13/2018 6:58:01.000000000 PM,840248,0,2419,0,Xml-Ipc Server Reg,mail.c2.local_111.16.2.2,6,g1.inside.local_192.168.1.1
7/13/2018 6:59:01.000000000 PM,5051,0,5,0,,web.server.local,,g1.inside.local_192.168.1.1
